ID,Gender,Status,Children,Age,Customer_Status,Car_Owner,Customer_Service,Satisfaction,Business_Area,Action
1000,Female,F,0,29.07,Active,Yes,"Vehicle was not clean upon delivery, disappointed.",1,Service: Orders/Contracts,Standard Pickup
1001,Male,F,0,29.08,Active,No,"All went quite smoothly... it was Enterprise, so they even picked me up to get the car.",0,Service: Accessibility,Visit Nearest Center
1002,Male,F,3,52.7,Inactive,No,"Long waiting time for pickup, very inconvenient.",0,Service: Attitude,Contact Support
1003,Female,M,2,22.79,Active,Yes,"Vehicle was not clean upon delivery, disappointed.",1,Service: Accessibility,On-demand pickup location
1004,Female,F,1,36.25,Active,No,"Very friendly service from the staff, quick and easy process.",0,Service: Attitude,Contact Support
1005,Male,F,0,33.3,Active,No,Please lower the prices.,0,Service: Orders/Contracts,NaN
1006,Male,M,3,45.4,Active,Yes,"All went quite smoothly... it was Enterprise, so they even picked me up to get the car.",1,Product: Functioning,Free Upgrade
1007,Male,M,1,57.93,Inactive,No,The agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available.,1,Product: Functioning,Free Upgrade
1008,Female,M,2,19.28,Inactive,No,The agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available.,1,Service: Attitude,Free Upgrade
1009,Female,M,0,35.1,Active,No,The agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available.,1,Service: Attitude,Visit Nearest Center
1010,Female,M,2,43.74,Active,No,Excellent response dealing with child seat.,1,Service: Accessibility,Free Upgrade
1011,Male,F,3,50.45,Inactive,Yes,Excellent response dealing with child seat.,0,Product: Functioning,Contact Support
1012,Female,F,0,62.1,Active,Yes,Please lower the prices.,1,Service: Attitude,NaN
1013,Female,F,2,40.26,Active,No,"Vehicle was not clean upon delivery, disappointed.",1,Product: Pricing and Billing,Free Upgrade
1014,Female,M,0,23.64,Inactive,Yes,The agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available.,0,Service: Accessibility,NaN
1015,Female,M,1,45.61,Active,No,Excellent response dealing with child seat.,1,Service: Orders/Contracts,NaN
1016,Male,F,3,65.02,Active,Yes,Please lower the prices.,1,Product: Functioning,Free Upgrade
